form	lemma	POS	morph
que		C	
·l		D	
rey		N	
de		P	
València		NPR	
armàs		VBDS^3^SG	
·ii·		NUM	
o		CONJ	
·iii·		NUM	
galees		N	
,		COMMA	
e		CONJ	
que		C	
donassen		VBDS^3^PL	
salt		N	
a		P	
la		D	
vianda		N	
que		C	
venia		VBDI^3^SG	
FOL79v		FOL	
de		P	
Terragona		NPR	
e		CONJ	
de		P	
Tortosa		N	
.		.	
E		CONJ	
donaren		VBDI^3^PL	
-nos		PRO^D^1^PL	
de		P	
conseyl		N	
los		D	
marinés		N	
e		CONJ	
aquels		D^DEM	
qui		C	
sabien		VBDI^3^PL	
de		P	
mar		N	
que		C	
aqueles		D^DEM	
galees		N	
retenguéssem		VBDI^1^PL	
e		CONJ	
que		C	
no		NEG	
les		PRO^A^3^PL	
lexàssem		VBDS^1^PL	
per		P	
res		PRO^Q	
.		.	
E		CONJ	
nós		PRO^1^PL	
anam		VBDI^1^PL	
-nos		PRO^RFL^1^PL	
-en		PRO^ADV	
a		P	
la		D	
tenda		N	
del		P+D	
maestre		N	
del		P+D	
Temple		NPR	
e		CONJ	
enviam		VBDI^1^PL	
per		P	
éls		PRO^3^PL	
e		CONJ	
pregam		VBPI^1^PL	
-los		PRO^D^3^PL	
que		C	
en		P	
totes		D^Q	
guises		N	
,		COMMA	
pus		ADV	
les		D	
galees		N	
eren		VBDI^3^PL	
aquí		ADV	
,		COMMA	
que		C	
y		PRO^ADV	
romanguessen		VBDI^3^PL	
,		COMMA	
e		CONJ	
que		C	
y		PRO^ADV	
pagaríem		VBPC^1^PL	
ço		PRO^3^SG	
que		C	
havien		VBDI^3^PL	
costat		VN	
d’		P	
armar		VB	
e		CONJ	
dar		VB	
-lus		PRO^D^3^PL	
n’		PRO^ADV	
íem		VBDS^1^PL	
encara		ADV	
molt		ADV	
més		ADV	
.		.	
éls		PRO^3^PL	
dixeren		VBDI^3^PL	
que		C	
molt		ADV	
los		D	
havien		VBDI^3^PL	
costat		VN	
,		COMMA	
e		CONJ	
que		C	
·ns		PRO^D^1^PL	
pregaven		VBDI^3^PL	
que		C	
les		PRO^A^3^PL	
lexàssem		VBDS^1^PL	
anar		VB	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
:		:	
En		DPR	
Bernat		NPR	
,		COMMA	
vós		PRO^2^PL	
sóts		VBPI^2^PL	
tal		ADJ	
hom		N	
e		CONJ	
tan		ADV	
honrat		ADJ	
,		COMMA	
e		CONJ	
En		DPR	
Pere		NPR	
Martel		NPR	
hom		N	
de		P	
ciutat		N	
bo		ADJ	
,		COMMA	
que		C	
devets		VBPI^2^PL	
guardar		VB	
tota		D^Q	
via		N	
ma		D^POS	
honor		N	
.		.	
¿		¿	
e		CONJ	
per		P	
quant		C	
volríets		VBFI^2^PL	
vós		PRO^2^PL	
que		C	
jo		PRO^1^SG	
·m		PRO^D^1^SG	
partís		VBDS^3^SG	
d’		P	
aquí		ADV	
e		CONJ	
que		C	
no		NEG	
prengués		VBDS^3^SG	
aquest		D^DEM	
loch		N	
?		?	
lexem		VBDS^1^PL	
estar		VB	
lo		D	
don		N	
e		CONJ	
la		D	
onta		N	
que		C	
jo		PRO^1^SG	
y		PRO^ADV	
pendria		VBPC^3^SG	
e		CONJ	
tota		D^Q	
ma		D^POS	
ost		N	
;		;	
que		C	
jo		PRO^1^SG	
haja		VBPS^3^SG	
mon		D^POS	
regne		N	
ab		P	
què		WPRO	
jo		PRO^1^SG	
hé		VBPI^1^SG	
contrastat		VNI	
e		CONJ	
destret		FW	
Aragó		NPR	
e		CONJ	
Cathalunya		NPR	
d’		P	
aquels		D^DEM	
qui		C	
·s		PRO^RFL^3^SG	
levaren		VBDI^3^PL	
contra		P	
mi		PRO^D^1^SG	
e		CONJ	
vençut		VN	
lo		D	
comtat		N	
d’		P	
Urgel		NPR	
e		CONJ	
Maylorques		NPR	
,		COMMA	
e		CONJ	
aquest		D^DEM	
sia		VBPS^3^SG	
el		D	
primer		ADJ^Q	
loch		N	
del		P+D	
regne		N	
de		P	
València		NPR	
que		C	
jo		PRO^1^SG	
hé		VBPI^1^SG	
assetiat		VNI	
e		CONJ	
que		C	
d’		P	
aquí		ADV	
·m		PRO^D^1^SG	
levàs		VBDS^3^SG	
,		COMMA	
no		NEG	
u		PRO^A^NTR	
faria		VBPC^3^SG	
.		.	
Però		CONJ	
a		P	
fer		VB	
s’		PRO^RFL^3^SG	
auria		VBPC^3^SG	
,		COMMA	
si		C	
no		NEG	
havia		VBDI^3^SG	
què		WPRO	
menjar		VB	
.		.	
Per		P	
què		WPRO	
us		PRO^D^2^PL	
prec		VBPI^1^SG	
per		P	
Déu		N	
e		CONJ	
per		P	
la		D	
naturalea		N	
que		C	
havets		VBPI^2^PL	
ab		P	
mi		PRO^D^1^SG	
que		C	
no		NEG	
·m		PRO^D^1^SG	
vuylats		VBPS^2^PL	
fer		VB	
tan		ADV	
gran		ADJ	
dan		N	
e		CONJ	
tan		ADV	
gran		ADJ	
onta		N	
.		.	
E		CONJ	
dixeren		VBDI^3^PL	
que		C	
s’		PRO^RFL^3^SG	
acordarien		VBPC^3^PL	
.		.	
E		CONJ	
foren		VBDI^3^PL	
parladors		N	
entre		P	
nós		PRO^1^PL	
e		CONJ	
éls		PRO^3^PL	
,		COMMA	
mentre		ADV	
s’		PRO^RFL^3^SG	
acordaven		VBDI^3^PL	
.		.	
E		CONJ	
vench		VBDI^3^SG	
a		P	
açò		PRO^3^SG	
que		C	
·ns		PRO^D^1^PL	
havien		VBDI^3^PL	
a		P	
costar		VB	
·lx		N	
·		.	
mília		NUM	
sous		N	
,		COMMA	
e		CONJ	
que		C	
·ls		D	
pagàs		VBDS^3^SG	
hom		N	
de		P	
l’		D	
altra		D^Q	
part		N	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
:		:	
Nós		PRO^1^PL	
los		D	
·lx·		NUM	
mília		NUM	
sous		N	
darem		VBFI^1^PL	
de		P	
bon		ADJ	
grat		N	
,		COMMA	
mas		CONJ	
que		C	
diguen		VBPS^3^PL	
éls		PRO^3^PL	
que		C	
·ls		PRO^A^3^SG	
los		D	
pach		N	
hom		N	
aquí		ADV	
,		COMMA	
no		NEG	
u		PRO^A^NTR	
poria		VBPC^3^SG	
fer		VB	
,		COMMA	
que		C	
·m·		NUM	
sous		N	
no		NEG	
·ls		PRO^D^3^PL	
en		P	
poria		VBPC^3^SG	
ara		ADV	
pagar		VB	
,		COMMA	
si		C	
,		COMMA	
donch		N	
,		COMMA	
hom		N	
no		NEG	
·ls		D	
me		FW	
prestava		VBDI^3^SG	
o		CONJ	
,		COMMA	
si		C	
,		COMMA	
donchs		CONJ	
,		COMMA	
no		NEG	
·n		PRO^ADV	
metie		VBPC^3^SG	
penyora		ADJ	
cavals		N	
o		CONJ	
altres		D^Q	
coses		N	
;		;	
e		CONJ	
aquí		ADV	
no		NEG	
és		VBPI^3^SG	
ara		ADV	
hora		N	
de		P	
metre		VB	
cavals		N	
en		P	
penyora		N	
.		.	
E		CONJ	
proferim		VBPI^1^PL	
-los		PRO^D^3^PL	
penyores		N	
.		.	
E		CONJ	
dixeren		VBDI^3^PL	
que		C	
per		P	
re		PRO^Q	
del		P+D	
món		N	
no		NEG	
u		PRO^A^NTR	
farien		VBPC^3^PL	
,		COMMA	
si		C	
no		NEG	
·ls		D	
metien		VBDI^3^PL	
fiança		N	
lo		D	
maestre		N	
del		P+D	
Temple		NPR	
e		CONJ	
de		P	
l’		D	
Espital		NPR	
.		.	
nós		PRO^1^PL	
pregam		VBPI^1^PL	
-los		PRO^A^3^PL	
-en		PRO^ADV	
que		C	
hi		PRO^ADV	
entrassen		VBDS^3^PL	
.		.	
E		CONJ	
dix		VBDI^3^SG	
lo		D	
maestre		N	
de		P	
l’		D	
Espital		NPR	
:		:	
FOL80r		FOL	
Guardat		NPR	
-me		PRO^RFL^1^SG	
·n		PRO^ADV	
vós		PRO^2^PL	
,		COMMA	
que		C	
jo		PRO^1^SG	
y		PRO^ADV	
entraray		VBPI^1^SG	
.		.	
E		CONJ	
dix		VBDI^3^SG	
lo		D	
maestre		N	
del		P+D	
Temple		NPR	
,		COMMA	
per		P	
nom		N	
Ramon		NPR	
Patot		NPR	
,		COMMA	
que		C	
no		NEG	
havien		VBDI^3^PL	
acustumat		VN	
d’		P	
entrar		VB	
fiança		N	
per		P	
rey		N	
ne		CONJ+NEG	
per		P	
altre		D^Q	
hom		N	
.		.	
E		CONJ	
partim		VBDI^1^PL	
-nos		PRO^RFL^1^PL	
així		ADV	
aquela		D^DEM	
saó		N	
.		.	
E		CONJ	
dix		VBDI^3^SG	
lo		D	
maestre		N	
de		P	
l’		D	
Espital		NPR	
:		:	
Jo		PRO^1^SG	
parlaré		VBFI^1^SG	
ab		P	
lo		D	
maestre		N	
del		P+D	
Temple		NPR	
e		CONJ	
veuré		VBFI^1^SG	
què		WPRO	
·n		PRO^ADV	
poré		VBFI^1^SG	
fer		VB	
.		.	
E		CONJ	
dix		VBDI^3^SG	
lo		D	
maestre		N	
:		:	
¿		¿	
Per		P	
què		WPRO	
no		NEG	
fem		VBPI^1^PL	
·i_a·		D	
cosa		N	
:		:	
que		C	
façam		VBPS^1^PL	
aquesta		D^DEM	
fiança		N	
al		P+D	
rey		N	
,		COMMA	
e		CONJ	
que		C	
él		PRO^3^SG	
que		C	
·ns		PRO^D^1^PL	
conferm		VBDI^1^PL	
les		D	
cartes		N	
que		C	
havem		VBPI^1^PL	
de		P	
son		D^POS	
linyatge		N	
,		COMMA	
e		CONJ	
valrà		VBFI^3^SG	
·ns		PRO^D^1^PL	
més		ADV	
que		C	
si		C	
·ns		PRO^D^1^PL	
havia		VBDI^3^SG	
dats		VBI^2^PL	
·c·		NUM	
mília		NUM	
sous		N	
?		?	
e		CONJ	
dix		VBDI^3^SG	
lo		D	
maestre		N	
del		P+D	
Temple		NPR	
que		C	
·s		PRO^RFL^3^SG	
ne		CONJ+NEG	
aconseylaria		VBPC^3^SG	
ab		P	
sos		D^POS	
frares		N	
,		COMMA	
e		CONJ	
els		D	
frares		N	
aconseylaren		VBDI^3^PL	
-li		PRO^D^3^SG	
-ho		PRO^A^NTR	
;		;	
e		CONJ	
puys		ADV	
dix		VBDI^3^SG	
que		C	
u		PRO^A^NTR	
faria		VBPC^3^SG	
.		.	
E		CONJ	
vench		VBDI^3^SG	
-se		PRO^RFL^3^SG	
·n		PRO^ADV	
a		P	
nós		PRO^1^PL	
lo		D	
maestre		N	
de		P	
l’		D	
Espital		NPR	
e		CONJ	
dix		VBDI^3^SG	
:		:	
Qui		FW	
us		PRO^D^2^PL	
ho		PRO^A^NTR	
dóna		VBPI^3^SG	
tot		ADV	
acabat		VNI	
,		COMMA	
grairets		VBPI^2^PL	
-ho		PRO^A^NTR	
a		P	
hom		N	
?		?	
Och		ADV	
-		-	
-dixem		VBDI^1^PL	
nós		PRO^1^PL	
.		.	
En		DPR	
tal		ADJ	
guisa		N	
pot		VBPI^3^SG	
ésser		VB	
acabat		VNI	
:		:	
així		ADV	
és		VBPI^3^SG	
,		COMMA	
que		C	
·ns		PRO^D^1^PL	
façats		VBPS^2^PL	
·i_a·		D	
carta		N	
que		C	
vós		PRO^2^PL	
que		C	
·ns		PRO^D^1^PL	
confermats		VBPI^2^PL	
aqueles		D^DEM	
cartes		N	
que		C	
havem		VBPI^1^PL	
de		P	
vostre		D^POS	
liynatge		N	
,		COMMA	
e		CONJ	
puys		ADV	
així		ADV	
fer		VB	
-ho		PRO^A^NTR	
ém		VBPI^1^PL	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
:		:	
Sapiats		VBI^2^PL	
,		COMMA	
maestre		N	
,		COMMA	
que		C	
no		NEG	
u		PRO^A^NTR	
farem		VBFI^1^PL	
,		COMMA	
que		C	
sobre		P	
demanats		VNI	
gran		ADJ	
carta		N	
.		.	
E		CONJ	
diable!		PRO^Q	
-		-	
-dix		VBDI^3^SG	
lo		D	
maestre		N	
.		.	
Estrayn		WADV	
hom		N	
sóts!		VNI	
Digats		NPR	
hoc		ADV	
e		CONJ	
no		NEG	
·n		PRO^ADV	
façats		VBPS^2^PL	
re!		PRO^Q	
e		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
:		:	
Ab		CONJ	
aquest		D^DEM	
mot		N	
que		C	
y		PRO^ADV	
metats		VBPS^2^PL	
,		COMMA	
fer		VB	
-ho		PRO^A^NTR	
hé		VBPI^1^SG	
,		COMMA	
però		CONJ	
bon		ADJ	
seria		VBPC^3^SG	
que		C	
y		PRO^ADV	
fos		VBDS^3^SG	
altre		D^Q	
,		COMMA	
que		C	
jo		PRO^1^SG	
só		VBPI^1^SG	
rey		N	
,		COMMA	
e		CONJ	
vós		PRO^2^PL	
sóts		VBPI^2^PL	
maestre		N	
de		P	
l’		D	
Espital		NPR	
.		.	
E		CONJ	
dix		VBDI^3^SG	
él		PRO^3^SG	
:		:	
Si		C	
hi		PRO^ADV	
metets		VBI^2^PL	
altre		D^Q	
,		COMMA	
tot		D^Q	
serà		VBFI^3^SG	
afolat		VNI	
,		COMMA	
que		C	
pro		D^Q	
hi		PRO^ADV	
ha		VBPI^3^SG	
de		P	
vós		PRO^2^PL	
e		CONJ	
de		P	
mi		PRO^D^1^SG	
;		;	
que		C	
,		COMMA	
si		C	
ho		PRO^A^NTR	
sap		VBPI^3^SG	
lo		D	
maestre		N	
del		P+D	
Temple		NPR	
ni		CONJ+NEG	
els		D	
frares		N	
,		COMMA	
no		NEG	
·n		PRO^ADV	
farà		VBFI^3^SG	
res		PRO^Q	
.		.	
Ara		ADV	
-		-	
-dixem		VBDI^1^PL	
nós		PRO^1^PL	
-		-	
-		-	
,		COMMA	
sia		VBPS^3^SG	
feit		VNI	
.		.	
Mas		CONJ	
membre		VBI^2^SG	
-us		PRO^D^2^PL	
que		C	
,		COMMA	
si		C	
venia		VBDI^3^SG	
en		P	
altre		D^Q	
loch		N	
,		COMMA	
que		C	
us		PRO^D^2^PL	
membràs		VBDS^3^SG	
que		C	
açò		PRO^3^SG	
havia		VBDI^3^SG	
feyt		VN	
ab		P	
vós		PRO^2^PL	
.		.	
E		CONJ	
sobre		P	
açò		PRO^3^SG	
ajustam		VBDI^1^PL	
-nos		PRO^A^1^PL	
e		CONJ	
faem		VBDI^1^PL	
venir		VB	
En		DPR	
Bernat		NPR	
de		P	
Sancta		ADJ	
Eugènia		NPR	
e		CONJ	
·N		DPR	
Pere		NPR	
Martell		NPR	
e		CONJ	
donam		VBPI^1^PL	
-los		PRO^D^3^PL	
fiançes		N	
los		D	
dits		VNI	
maestres		N	
e		CONJ	
retenguem		VBDS^1^PL	
les		D	
galees		N	
.		.	
E		CONJ	
vench		VBDI^3^SG	
-nos		PRO^D^1^PL	
conduyt		N	
per		P	
mar		N	
,		COMMA	
pus		ADV	
sabien		VBDI^3^PL	
que		C	
les		D	
galees		N	
havíem		VBDI^1^PL	
,		COMMA	
tant		ADV	
,		COMMA	
que		C	
bastament		D^Q	
n’		PRO^ADV	
avia		VBDI^3^SG	
en		P	
la		D	
ost		N	
.		.	
sobre		P	
açò		PRO^3^SG	
dix		VBDI^3^SG	
Don		DPR	
Ferrando		NPR	
,		COMMA	
nostre		D^POS	
oncle		N	
,		COMMA	
que		C	
volia		VBDI^3^SG	
parlar		VB	
ab		P	
nós		PRO^1^PL	
,		COMMA	
ell		PRO^3^SG	
e		CONJ	
·i_a·		D	
partida		N	
dels		P+D	
richs		ADJ	
hòmens		N	
,		COMMA	
al		P+D	
matí		N	
.		.	
E		CONJ	
dixem		VBDI^1^PL	
nós		PRO^1^PL	
que		C	
·ns		PRO^D^1^PL	
FOL80v		FOL	
plahia		VBDI^3^SG	
molt		ADV	
.		.	
E		CONJ	
,		COMMA	
quan		C	
vench		VBDI^3^SG	
al		P+D	
matí		N	
,		COMMA	
vengren		VBDI^3^PL	
a		P	
nós		PRO^1^PL	
a		P	
la		D	
nostra		D^POS	
tenda		N	
.		.	
vench		VBDI^3^SG	
-hi		PRO^ADV	
ell		PRO^3^SG	
e		CONJ	
Don		DPR	
Blasco		NPR	
d’		P	
Alagó		NPR	
e		CONJ	
Don		DPR	
Exemèn		NPR	
d’		P	
Orrea		NPR	
e		CONJ	
Don		DPR	
Rodrigo		NPR	
Liçana		NPR	
e		CONJ	
Don		DPR	
Blasco		NPR	
Maça		NPR	
e		CONJ	
guardaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
dels		P+D	
bisbes		N	
e		CONJ	
dels		P+D	
richs		ADJ	
hòmens		N	
de		P	
Cathalunya		NPR	
,		COMMA	
d’		P	
aquesta		D^DEM	
paraula		N	
que		C	
·ns		PRO^D^1^PL	
volien		VBDI^3^PL	
dir		VB	
.		.	
E		CONJ	
clamaren		VBDI^3^PL	
Don		DPR	
Exemèn		NPR	
Péreç		NPR	
de		P	
Tarassona		NPR	
e		CONJ	
la		D	
justícia		N	
d’		P	
Aragó		NPR	
tan		ADV	
solament		ADV	
que		C	
y		PRO^ADV	
fossen		VBDS^3^PL	
ab		P	
nós		PRO^1^PL	
,		COMMA	
car		C	
eren		VBDI^3^PL	
de		P	
nostra		D^POS	
maynada		N	
.		.	
comanaren		VBDI^3^PL	
la		D	
paraula		N	
a		P	
Don		DPR	
Blasco		NPR	
d’		P	
Alagó		NPR	
,		COMMA	
e		CONJ	
que		C	
la		D	
dixés		VBDS^3^SG	
;		;	
e		CONJ	
ell		PRO^3^SG	
començà		VBDI^3^SG	
en		P	
esta		D^DEM	
manera		N	
sa		D^POS	
paraula		N	
:		:	
Seyor		N	
,		COMMA	
Don		DPR	
Ferrando		NPR	
e		CONJ	
nós		PRO^1^PL	
som		VBPI^1^PL	
venguts		VNI	
aquí		ADV	
ab		P	
vós		PRO^2^PL	
per		P	
servir		VB	
-vos		PRO^D^2^PL	
en		P	
aquest		D^DEM	
feyt		N	
d’		P	
aquest		D^DEM	
seti		N	
que		C	
vós		PRO^2^PL	
havets		VBPI^2^PL	
feyt		N	
a		P	
Burriana		NPR	
.		.	
E		CONJ	
vera		ADJ	
cosa		N	
és		VBPI^3^SG	
que		C	
·ls		D	
reys		N	
molt		ADV	
comencen		VBDI^3^PL	
de		P	
fer		VB	
e		CONJ	
de		P	
provar		VB	
les		D	
coses		N	
,		COMMA	
con		C	
vós		PRO^2^PL	
havets		VBPI^2^PL	
feit		VNI	
,		COMMA	
de		P	
cercar		VB	
aquest		D^DEM	
logar		N	
,		COMMA	
però		CONJ	
totes		D^Q	
les		D	
coses		N	
que		C	
·ls		D	
reys		N	
començen		VBDI^3^PL	
no		NEG	
·s		PRO^RFL^3^PL	
poden		VBPI^3^PL	
acabar		VB	
així		ADV	
con		C	
éls		PRO^3^PL	
volrien		VBPC^3^PL	
,		COMMA	
car		C	
,		COMMA	
si		C	
tot		D^Q	
açò		PRO^3^SG	
que		C	
vosaltres		PRO^2^PL	
reys		N	
volríets		VNI	
s’		PRO^RFL^3^SG	
acabàs		VBDS^3^SG	
,		COMMA	
totes		D^Q	
les		D	
terres		N	
serien		VBPC^3^PL	
vostres		D^POS	
.		.	
Ara		ADV	
,		COMMA	
en		P	
est		D^DEM	
feit		N	
de		P	
Burriana		NPR	
veem		VBPI^1^PL	
-vos		PRO^D^2^PL	
gran		ADJ	
embarch		N	
,		COMMA	
així		ADV	
que		C	
·ls		D	
conseyls		N	
no		NEG	
podets		VBPI^2^PL	
aquí		ADV	
retenir		VB	
,		COMMA	
que		C	
anar		VB	
-se		PRO^RFL^3^SG	
·n		PRO^ADV	
volen		VBPI^3^PL	
per		P	
segar		VB	
les		D	
messes		N	
;		;	
e		CONJ	
nós		PRO^1^PL	
,		COMMA	
richs		ADJ	
hòmens		N	
,		COMMA	
no		NEG	
havem		VBPI^1^PL	
què		WPRO	
menjar		VB	
.		.	
E		CONJ	
no		NEG	
volríem		VBPC^1^PL	
que		C	
us		PRO^D^2^PL	
ho		PRO^A^NTR	
aguéssem		VBDS^1^PL	
a		P	
dir		VB	
,		COMMA	
que		C	
no		NEG	
havem		VBPI^1^PL	
què		WPRO	
menjar		VB	
e		CONJ	
que		C	
·ns		PRO^RFL^1^PL	
en		P	
hajam		VBPS^1^PL	
a		P	
anar		VB	
poch		ADV	
a		P	
poch		ADV	
;		;	
e		CONJ	
vós		PRO^2^PL	
que		C	
romangats		VBPS^2^PL	
aquí		ADV	
en		P	
tal		ADJ	
manera		N	
,		COMMA	
que		C	
us		PRO^D^2^PL	
n’		PRO^ADV	
ajats		VBPS^2^PL	
a		P	
levar		VB	
a		P	
onta		N	
e		CONJ	
a		P	
scarn		N	
de		P	
vós		PRO^2^PL	
.		.	
E		CONJ	
,		COMMA	
si		C	
a		P	
vós		PRO^2^PL	
plahia		VBDI^3^SG	
,		COMMA	
poríem		VBPC^1^PL	
aguisar		VB	
en		P	
tal		ADJ	
manera		N	
,		COMMA	
que		C	
·n		PRO^ADV	
poríets		VBPC^2^PL	
haver		VB	
gran		ADJ	
haver		VB	
e		CONJ	
autra		ADJ	
saó		N	
,		COMMA	
quant		C	
ho		PRO^A^NTR	
hauríets		VBPC^2^PL	
mils		ADV	
aguisat		VN	
,		COMMA	
poríets		VBPC^2^PL	
la		D	
pendre		VB	
,		COMMA	
si		C	
Déus		N	
ho		PRO^A^NTR	
vol		VBPI^3^SG	
,		COMMA	
e		CONJ	
ajudar		VB	
-vos		PRO^D^2^PL	
hem		VBDS^1^PL	
,		COMMA	
que		C	
us		PRO^A^2^PL	
darà		VBFI^3^SG	
la		D	
Seyt		NPR	
tant		ADV	
del		P+D	
seu		D^POS	
,		COMMA	
que		C	
vós		PRO^2^PL	
porets		VBFI^2^PL	
desfer		VB	
la		D	
messió		N	
,		COMMA	
a		P	
vós		PRO^2^PL	
e		CONJ	
a		P	
vostres		D^POS	
richs		ADJ	
hòmens		N	
,		COMMA	
que		C	
feyta		VNI	
havets		VBPI^2^PL	
en		P	
venir		VB	
aquí		ADV	
.		.	
E		CONJ	
demanam		VBDI^1^PL	
a		P	
Don		DPR	
Fferrando		NPR	
:		:	
Don		DPR	
Fferrando		NPR	
e		CONJ	
vosaltres		PRO^2^PL	
,		COMMA	
richs		ADJ	
hòmens		N	
que		C	
sóts		VBPI^2^PL	
venguts		VNI	
aquí		ADV	
,		COMMA	
¿		¿	
sembla		VBPI^3^SG	
-us		PRO^D^2^PL	
que		C	
deja		VBPS^3^SG	
FOL81r		FOL	
fer		VB	
açò		PRO^3^SG	
?		?	
e		CONJ	
dix		VBDI^3^SG	
Don		DPR	
Ferrando		NPR	
:		:	
Per		P	
bona		ADJ	
fe		N	
,		COMMA	
seyor		N	
,		COMMA	
semblant		N	
nos		PRO^A^1^PL	
seria		VBPC^3^SG	
per		P	
aquela		D^DEM	
desama		N	
que		C	
us		PRO^D^2^PL	
ha		VBPI^3^SG	
dita		VNI	
Don		DPR	
Blasco		NPR	
que		C	
és		VBPI^3^SG	
en		P	
vós		PRO^2^PL	
e		CONJ	
en		P	
nós		PRO^1^PL	
,		COMMA	
que		C	
vinguéssets		VBDI^3^SG	
en		P	
·i_a·		D	
fronta		N	
,		COMMA	
que		C	
·ls		D	
hòmens		N	
vos		PRO^D^2^PL	
haguessen		VBDS^3^PL	
a		P	
jaquir		VB	
per		P	
cuyta		N	
de		P	
menjar		VB	
.		.	
E		CONJ	
nós		PRO^1^PL	
de		P	
mantinent		ADV	
responem		VBDI^1^PL	
-li		PRO^D^3^SG	
,		COMMA	
car		C	
d’		P	
aytal		D^DEM	
cosa		N	
con		C	
aquesta		D^DEM	
no		NEG	
semblava		VBDI^3^SG	
que		C	
deguéssem		VBDI^1^PL	
haver		VB	
acort		N	
.		.	
E		CONJ	
dixem		VBDI^1^PL	
-li		PRO^D^3^SG	
:		:	
Responem		VBDI^1^PL	
-vos		PRO^D^2^PL	
en		P	
esta		D^DEM	
manera		N	
:		:	
que		C	
Nostre		D^POS	
Seyor		N	
nos		PRO^D^1^PL	
ha		VBPI^3^SG	
feit		ADJ	
molt		ADV	
de		P	
bé		ADV	
e		CONJ	
molta		D^Q	
de		P	
mercè		N	
en		P	
nostre		D^POS	
jovent		N	
,		COMMA	
e		CONJ	
les		D	
coses		N	
que		C	
havem		VBPI^1^PL	
començades		VNI	
,		COMMA	
havem		VBPI^1^PL	
gitades		N	
,		COMMA	
la		D	
merçè		N	
de		P	
Déu		N	
,		COMMA	
a		P	
bon		ADJ	
cap		N	
.		.	
E		CONJ	
que		C	
en		P	
nostra		D^POS	
ninea		N	
hajam		VBPS^1^PL	
pres		VN	
·i·		NUM	
regne		N	
que		C	
és		VBPI^3^SG	
sobre		P	
mar		N	
e		CONJ	
que		C	
siam		VBPS^1^PL	
entrat		VNI	
e		CONJ	
·l		D	
regne		N	
de		P	
València		NPR	
la		D	
primera		ADJ^Q	
vegada		N	
que		C	
jo		PRO^1^SG	
anch		ADV	
hi		PRO^ADV	
entré		VBFI^1^SG	
e		CONJ	
que		C	
haja		VBPS^3^SG	
assatjat		VNI	
ab		P	
vosaltres		PRO^2^PL	
·i·		NUM	
logar		N	
tan		ADV	
vil		ADJ	
con		C	
aquest		D^DEM	
,		COMMA	
que		C	
no		NEG	
és		VBPI^3^SG	
major		ADJ	
d’		P	
un		D^Q	
corral		N	
,		COMMA	
e		CONJ	
que		C	
d’		P	
aquí		ADV	
·m		PRO^D^1^SG	
leu		ADJ	
per		P	
haver		VB	
que		C	
jo		PRO^1^SG	
·n		PRO^ADV	
prena		N	
,		COMMA	
creets		VBFI^2^PL	
bé		ADV	
que		C	
no		NEG	
u		PRO^A^NTR	
faria		VBPC^3^SG	
;		;	
ans		CONJ	
vos		PRO^RFL^2^PL	
prec		VBPI^1^SG	
e		CONJ	
us		PRO^A^2^PL	
man		VBPI^1^SG	
per		P	
la		D	
seyoria		N	
que		C	
hé		VBPI^1^SG	
sobre		P	
vós		PRO^2^PL	
que		C	
la		D	
m’		PRO^D^3^SG	
ajudets		VNI	
a		P	
pendre		VB	
e		CONJ	
tal		ADJ	
conseyl		N	
no		NEG	
·m		PRO^D^1^SG	
donets		VBPS^2^PL	
,		COMMA	
que		C	
mal		N	
tornaria		VBDI^3^SG	
jo		PRO^1^SG	
en		P	
Cathalunya		NPR	
e		CONJ	
en		P	
Aragó		NPR	
e		CONJ	
ab		P	
gran		ADJ	
vergonya		N	
de		P	
mi		PRO^D^1^SG	
,		COMMA	
si		C	
jo		PRO^1^SG	
aytal		D^DEM	
logar		N	
con		C	
aquest		D^DEM	
no		NEG	
prenia		VBDI^3^SG	
.		.	
E		CONJ	
,		COMMA	
quan		C	
fo		VBDI^3^SG	
passada		VNI	
ora		N	
de		P	
vespres		N	
,		COMMA	
anam		VBDI^1^PL	
-nos		PRO^D^1^PL	
deportar		VB	
fora		ADV	
la		D	
ost		N	
;		;	
e		CONJ	
trametem		VBFI^1^PL	
per		P	
Don		DPR	
Exemèn		NPR	
Péreç		NPR	
de		P	
Taraçona		NPR	
e		CONJ	
per		P	
la		D	
justícia		N	
d’		P	
Aragó		NPR	
.		.	
E		CONJ	
eren		VBDI^3^PL	
abdós		D^Q	
frares		N	
;		;	
e		CONJ	
la		D	
justícia		N	
d’		P	
Aragó		NPR	
era		VBDI^3^SG	
major		ADJ	
de		P	
dies		N	
,		COMMA	
e		CONJ	
l’		D	
altre		D^Q	
era		VBDI^3^SG	
pus		ADV	
avist		ADV	
e		CONJ	
pus		ADV	
cert		ADJ	
de		P	
cor		N	
e		CONJ	
de		P	
tota		D^Q	
re		N	
,		COMMA	
levat		P	
que		C	
la		D	
justícia		N	
d’		P	
Aragó		NPR	
sabia		VBDI^3^SG	
